Penulis,Komentar
@ЅӨӍЄӨҊЄ-г2ъ,0:38 Markas kartel wak
@trovixcore,"Kalian serius ini official trailer nya? Coba searching lagi lah, mana tau bukan ini videonya."
@Nova_Noka,"Gw mending nonton film Jombo dari pada nonton film merah putih one for all mana udah jiplak google karakternya , mana suara burungnya kek suara monyet malu-maluin nama Indonesia aja"
@manualrobert,"Setiap kali denger beat kayak gini, langsung inget 𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17️"
@braxysetiawan3461,Absen yang kejang kejang setelah nonton trailernya
@everabineno9566,Kebanggaan Indo
@adityawisnu,Gue mending nonton film unyil tahun 80an daripada matitersiksa nonton ini
@ganjarXegawati,Film macam apa ini dwag lebih baik liat brainrot jirr dwag udahlah ada scar
@RevanAlthafiasany,Film terjelek didunia dan memperlakukan Indonesia
@HanaIzzatiAquakeren,Allah..
@Suhendang-kd5qp,ini film terlalu lebay
@GaaMuu_Official,Gila ni film masterpiece favorit  gw cog gw yakin nih asal naro keyframe
@kiatcahyadi8335,"animasi kartun tahun 90an malah lebih bagus dr ini,,, film sampah gni kok bisa lulus masuk bioskop? wkwkkwkw"
@IPA009_FinaNailatulIzzah,Film indonesia pertama yang terjelek
@h4chiiipiwwww,Ini apaan coba
@JayaPermai-w2f,Bagusan baby bus
@haidirhd5867,Jaman pentium dx486
@hrmnse7899,Animasinya sehebat sinetron
@raraaarara-wl7zo,malu ih
@marcelinusjechoniahposmaes8569,"Jgn ada yg mau nonton film ini wei..
Jelek x.."
@cillahtasbihakhairunnisa-o1u6c,"""Tapi Hilang Bendera nya"" bahkan disini udah bikin bingung, seharusnya ""Tapi Bendera nya hilang"", terus juga ""tindakan apa YG akan diambil?"" harusnya yg diganti dengan yang saja, tidak usah di persingkat."
@Fagina_harumi,"Kalo benderanya ilang tinggal beli aja ditoko2 terdekat,beli 2 gratis bendera one piece.
Ngapain nyari sampai ke utan2 bikin bahaya anak2 aja,cuma bendera aja kok banyak yg jual.
Ahh gk bermutu blas ceritanya, uda nontonnya bikin sakit mata, ceritanya begitu pula...."
@Pijipiji-x6j,Bisa beli di pasar juga kan tadi lewat  pasar
@emojiru,"nggak mungkin sih ini , ini sih ceplok2 gambar aset2 3d downloadan/ beli. buat mancing respon."
@aaanam19,nilep berapa duit nih
@ikbalaryyy44790,"Ini film masterpiece jangan lupa ditonton,btw yang pake steroid seksi banget"
@AIISLAM7580,Bikin motopicek
@JokiBobaAB,Bikin sakit mata
@arbaenterprise,Tahi-nah....8M terkorban...
@DedehSumirat-m6d,Animasi terburuk dan terbrengsek yng pernah dibuat
@KhalifaUmar-t8h,"""berhenti,jyangan lyanjyut"" "
@azasubhekti8140,Kyk gini mau masuk bioskop…
@haryochel8523,Ini ada pesan PKI kah di trailer sin di gudang kok ada senjata laras panjang .
@kazuma8762,
@UniSoviet-u3i,"Padahal tinggal beli bendera baru, dan ngapain coba nyuruh anak kecil yang nyari bendera ke hutan kemana orang dewasanya, apakah itu spesies burung baru, bisa bisanya bendera di sandera"
@syahdan6,"Film ini bagus, tp ditonton tahun 1970"
@SyifaNabila-q4t,Mending film jumbo dahh di liatnya ge enak lah ini ga tertarik bangett wkwkwk
@AmyElena-h9r4g,Buset gw kira ga seburuk itu dan masih bisa dimaafin.... Tapi Pas liat trailernya....
@Bintavers_Aninn,"Ini baru trailer, gimana film nya? Bikin bangga Indonesia bukan, bikin MALU Indonesia iya"
@Alvino68-x,animasi pemula
@yonathanpaulanggara6862,Gw rasa animasi film indosiar sama mak lampir lebih masuk akal
@opencrack1606,Balik Bikin film horor aja deh
@3tarusT,
@krisnadinatha1709,Anakku yang umur 7 tahun aja bisa bilang ini film PARAH banget pah 
@orgsigma123,Realita sekali ya
@neruyopastel8031,Hati² nya udah berapa kali itu aduhhh!!!
