Penulis,Komentar
@deviaayu8300,kenapa ga kerja sama aja sm animator yg bagus-bagus kek kmrn di film jumbo atau nusa tu drpd kek gini. maaf ini kurang bgt sih 
@idapurwati,Ini siapa yang bikin?
@grey5n9,game name?
@Terimakasih_orba,Film yang bagus cuma salah tahun penayangan aja.. harusnya tayang di tahun 80 an..
@ahmadsopian7606,Karakternya mukanya kek orang melamun mana beler beler smua lagi wkwk mana pas ngomong berhenti jgn lanjut nadanya kek boti bgt
@MuhammadSena-ml8yx,Kok gw punya feeling nih budget 6.7m di korr....
@Bfdilovers,"0:30 tok dalang
0:39 gyat
1:03 bocil anti air
1:10 hati-hati
 burung suara nya monyet️
 ceramah dlu

Mending gua nonton Adit sopo jarwo aja elah"
@yuyuyaya1530,Y allah...apaan iniiii
@ClutiehGoes-iu1nq,Lebih bagus animasi anak magang dari ini hancurrr
@bintangjatmiko-hi1zm,buatan anak indonesia VS Buatan pemerintah
@Ruiii-m8u,berhenti jangan lanjyut
@akmalrizal8812,Budak² mana boleh masuk hutan bahaya ini bukan contoh yg baik.  Buat filempun agak²lah.  Bahayakan anak kecil.  Umur kaya gitu gak harusnya masuk kehutan.
@SLUG_BUDDY,Beta buka gudang anggarannya hilang
@MuhAdlyy,Sudah pasti dana nya di korupsi
@Tupai123-p8y,bikin malu indo
@dewian5449,"1:55 ""YG"""
@UwaWAHIN,Kok bagusin Upin Ipin ya
@meansiagian,"Namanya juga usaha, kadang hasilnya bagus kadang enggak ,
Skip aja udah "
@nickvahn,Wkwkwkkw lawakan macam apa ini. .burik bener bisa tayang dibioskop..aneh aekali
@Yuzionnn,Sakit mata gua liatny hpuslah pliiis
@shrazita,0:40 gudang desa apa markas kartel jir
@Jourgansummer2.0,Korupsi ini jelas penjarakan sutradara nya!!
@poh8651,what the sigma
@user-su7bv4ur6r,Satpam tobrut
@azimazmi5054,ini standard tv tahun awal 2000
@riskyajah6731,
@hafidzali4313,ini film apa  kartun hancur
@AkmalH.TGaming,Jangan di tonton ni film nanti malah orang nonton film ini pasti kalian kalau mau nonton cuma ngatain kan nah orang orang nanti jadi penasaran terus lihat film ini
@akademicryptolitee,Mampir kesini aja
@Maziradailychannel,"berasa nonton sinettron tp versi animasi cuma, lebih burik"
@sadikindikin-t4j,Mencoba untuk mengapresiasi.. Tapi kata hati gk bisa bohong.. Saran.. Kalau nonton  sambil mejam.. Saya rasa lebih bagus
@fb_chenel,sejak kapan burung suara nya kek monyet gitu 
@muhammadalghofiqiauliarach804,Absolute cinema ini..
@RhythmFYP,Bagusan Kartun Sopo Jarwo 
@sanzzcuyy-19,"Film apaaa ini dan kenapaaa di gudang ada AK47 ini mu perang kah suara hati² sama aduh nya beda padahal yang ngomong sama burung suara monyet jatoh kiri teleport kanan, nulis yang aja ga bisa kah ituuu, bro lebih nonton KIMETSU NO YAIBA yuk nonton KIMETSU aja mau gua di bayar 2M juga ga mau gua nonton ini!"
@RazakSmile_GD,1:27 HUUUHAAHUUUHAAAAA 
@ibnusyarirramadhan7782,0:53 berhenti jangan lanjyut~
@adriean6031,dipaksa tyang yak wkwkw
@Ammarkamal-j9m,burik jir bikin malu aja
@ardifan839,video darkweb ini
@BETURGAMING,Jadi kayak game
@Argacraft01,Bagusan jumbo dari pada ini
@Kayleen163,Gk layak buat di pasang di bioskop  anjirr
@candrawijaya5152,grafik nya lebih jelek ini dri pada epep grafik smooth
@rizqullahakbarpratama2246,0:08 itu ada bendera banyak napa harus nyari sampe hutan?
@MuhammadZhafranRamadhan-q3i,Animasi terjelek bagi dunia
@renaldyrama,Film gak jelasssss
@AkUnn-p3y,lebih baik nonton Adit sopo Jarwo 
@RizkyAdithia-dd6sl,Yang tekan tombol  absen
@AdeAdeandrianto,alamak najisnyaa
@MarselSaputra-z1p,Ihhhhhh takot nyooooo
@blossombelleee,berhyenti! jyangan lanjyut 
@andiyunas8033,"Klo ini yg bikin dana pribadi sendiri gpp,,tapi klo di sponsori pemerintah,,tolong jngan di tayangkan,,malu kita dri tetangga sebelah sebagai bangsa yg besar,,di hari yg sakral lgi.. "
@deadwalker135,Woilah cik apa gunanya nyandera bendera anjir
@alfisyahrin5412,"Jangan di hina lagi guys
Ni kartun emang udah hina"
@safashafiyah5864,Mata jd rusak liat pencahayaan nya 
@muhammadrevandi8614,Film nya ga niat bgt
@xam6594,"Sumpah gua mual liat animasinya, ga boong asli"
@viko1479,Bendera pdhl bisa dibeli lolot
@elierawati3306,Alamak najisnya
@dboyzproduction7181,Anj... film gta 5 yg gw bikin sendiri meski kurang jelas ceritanya masih lebih bagus dari pada ini.. secara gw bikinnya pake grafik dan mod di game..
@SamsungA03-p3c,Jelek banget masa anak kecil disuruh cari
@mynameisadit,"jelekk anyingg, kaya grafik game 10mb. bikin malu indonesia gini nih film kagak jelas anying, dari suara murahan banget kocakk, fps nya patah patah anjirr jaman purba, kalo di tahun 1945 mungkin bagus kartun nya, tapi kalo 2025 ini terjelekk, mending hapus aja deh film nya dari pada malu-maluin animator indo. bagusan juga film jumbo dah"
@scandetopia,Sepertinya aku kembali ke tahun 90 an...
@Yayauki_54,lilnas
@lwelleglance3044,"Kl ada yg rela nonton di bioskop, gue standing applause "
@BilalArsyanendra,Tinggal beli aja malah ke hutan
@Ubaidillah-b4t,Burung monyet 
@tirandipratamaputra,"Film Jumbo itu dibuat 5 taun 
Ini deadline hanya seminggu mohon pengertiannya ya, jangan menghujat"
@regeeeer,Film animasi tahun 2025 kaya gini????? 2025 loh
@XiaomiNote12-z8u,Film terbaik sepanjang masa bersyukurlah kalian udh punya anime sendiri. Kita sebagai warga indonesia harus bangga dong dengan karya anak bangsa 
@BARAKAH01GMG,Kartun burik 8bit lebih mending kartun nusa dan rara dari pada ini jadi kartun ini yang bersaing sama anime demon slayer labih bagus demon lah 
@UniSoviet-u3i,Bagusan kartun keluarga somat sama dontol
@Iaiaaka,Berhwenttyyy Juangan lanjyut ️ 0:55
@Erikkwan28,Grapic kek ps1 dqh
@DarkBites22,info dislike nya brp coy wkwk
@Its_slimbllesimblle-n8p,
@misrans8184,Buat malu bangsa
@FaizalArshad-q3v,"Menurut gw, di bagian 2:01 yg paling bagus grafiknya"
@servantofgod8222,Alamak najisnya
@semuaumur193,Masih bagusan film ular naga indosiar
@coming_back_in_202,"Suara jalan nya kayak suara grass di minecrafttrs ada gudang senjata lgigimana coba animasi nya lebih bagus animasi tahun 2015an gerakan nya juga kaku,suara nya kayak record wa,trs suara lagu nya mirip lagu suno ai tar lama lama yang ada bukan memperingati HUT RI ke 80 tapi hut film terjelek di dunia️"
@felixchristian9904,Rusak rusak
@AqeelaManha-w6l,Wkwkwkwkwkwkkw
@K4iserRoblox,1:10 aduhh
@naokiisback,jadi ga jadi harus dikumpulkan 
@Fardan735,Banyak anomali jor
@Ldthnth,"hell nah 6,7 milliyar"
@Mikayla_1323,0:38 hilang terus ini apa 0:08 diatas gapura
,Well well well
@tiarasuryamadani3271,itu AK-47 di balai desa buat apa deh 
@gilamancing3000,Film burik
@Vincent-M2020,ini film bukan lah kartun sampai akhir jelek banget
@rendyhairr0707,
@GG_XD_Craft_Gaming,0:59 patah tulang kepalanya
@dikifreefiree3220,Aduh kebelet eek
@ohmpawat-n4r,Grafik ny kurang bgtt plss
@boby.setiawan,Jumlah penonton trailer ini kayaknya bakal lebih banyak dari jumlah penonton filmnya.
@AmankTamin,Oooo ini tuh filmnya 
@sarikerja-z6z,kok bisa animasi se jadul ini PD banget tayang di bioskop
@aldiarudi,"Najiss kartunnya, mending kartun jumbo daripada ini, ampasan kopi ini"
@zhafrankhairykurniawan5771,Apani woi
@cakasrofcenel7216,Burikkk
@rachiez7626,Kayak mimpi buruk pas demam
@Jingga_milk,Marsha kurang gizi wak
@DzulhannanDzul,Berapa modal nya
@Tukangcover11,Hallooo aku datang hanya untung mencaci makiii
@FLASHHHH-k6m,Arsip deepweb knp bisa bocor ke YouTube?
@axelwicaksono363,"6,7m rupiah apa 6,7m Zimbabwe?"
@fantaatmaja8406,grafiknya kayak video darkweb anying
@ArieSindhunata,"Film yg bagus, tp salah jaman, harusnya diputar di dekade 1970an. Kalo di jaman itu pasti banyak yg kagum deh "
@Ayatkhan05,"konspirasi PKI, nonton chanel guru gembul"
@mtkajiansunah5736,Jelek bnget masih bgus film jumbo
@moonracless,Roblox ini
@nanangwiryanto4263,aduh.balik lagi ke jaman dulu...
@rumarummmm.012,jlk bat jir
@yantoforsa79,"MENDINGAN DIHAPUSSS AJA WAH,MALU""IN"
@CleosaAninditho,Film jlk
@dziaulhaq8444,aku bangga
@Dahlannnz,kalo bendera hilang tinggal beli
@amat4641,BUATAN ANAK BANGSA
@OktovintheofillusC,#jelekbangetdaripadajumbooooooooo
@bayupamungkas8347,Film apaan ini
@mahdivikyaa,apa ini wkwkw
@NobiAndika,Buriknya oyyyy sakit mataku
@richardbranson4537,"1:55 sekelas trailer, Nulis yang disingkat 'yg' "
@AdnanAdnandirardi,animasi lol
@Bebexduex,
@RizanMaulidi,Jir ada senjata ak47 di gudang
@MuhammadZaky-k6t,keren bgt anjg
@Suharso-u5f,"Perasaan anak2 bangsa klau bikin animasi  di youtube bagus2 loh..coba lihat animasi yg cerita rakyat nusantara wow..bagus bgt,sampai aku donwlond semua"
@IvankPrakoso,Buset daah yg gini tayang di bioskop di
@AndriTunru,1.30
@ramlanfadilah1703,1:09 capek ngetawain lina
@pulunggono-d2v,gila AK
@lijeedeerrs2,"grafik nya jelek, karakter nya kayak karakter belum jadi mana muka mereka ngeselin apalagi baju merah IIIHHHH"
@RONALPIRAN,"HD BANGET BANG, KEREN BINTANG 0,5"
@odiliaewyn3298,Sumprit ..... ini film yg patut daftar OSCAR
@hendrawanbwpt4609,Kaku x filmnya
@AnggiMuladir,Film jelek bikin malu
@ihn1203,VISUALNYA BAHKAN LEBIH BURIK DAN KETINGGALAN JAMAN DARIPADA PS1. ANIMASI KOMERSIAL SEKELAS JUMBO AJA UDAH MENDUNIA. LAH INI KATANYA PRODUK NEGERI TAPI KAYAKNYA LEBIH COCOK DISEBUT PROYEK AKAL-AKALAN DARIPADA FILM.
@ЅӨӍЄӨҊЄ-г2ъ,1:55  yg gak tuh
@sprunki_y3,Karak ter scp
@ekawijaya855,Ni pejabat pada ngapain ya?? Yang katanya Proyek negara gak ada yang beres.
@ThatDruidDude,0:59 genre apa film ngab??
@zairfirmansyah3283,Sangat tidak layak tanyang dibioskop ini
@Fida-c4l,melihat pun tidak sudi
@muh_sayyaf,"gak kuat anjir liat trailer nya aja..
karya ini terlalu bagus untuk tampil di bioskop"
@cristalinowinstons9428,Bagusan tekotok jir
@nikenrose2,Astaghfirullah
@cyn_imoett,Mata segede gaban dan ada 2 goa setiap badan merekaa
@rizaldi5144,Burung nya suara monyet 
@lightningaviary,ko cinepolis mau si ditumpangin trailer kaya gini wkwkw
@nauraart6,"""Beta buka gudang, bendera nya bilang"""
@FanzSky-b2e,Kasih bintang 1 guyss
